ticker,as_of_date,market_cap_cr,enterprise_value_cr,pe,ev_ebitda,pb,ps,roe,roce,roa,industry_pe,historical_pe_3y,historical_pe_5y,historical_pe_10y,avg_roe_3y,avg_roe_5y,debt_equity,current_ratio,interest_coverage,revenue_ttm,ebitda_ttm,pat_ttm,revenue_growth_1y,revenue_growth_3y,revenue_growth_5y,ebitda_margin,pat_margin,ebitda_growth_1y,pat_growth_1y,pat_growth_3y,pat_growth_5y,promoter_holding,fii_holding,dii_holding,public_holding,latest_result_date,result_quarter,cash,total_debt,working_capital_days,cfo_ttm,source,ingested_at
M&MFIN,2026-06-11,38286.75,159089.07,12.96,11.98,1.45,1.82,12.26,8.72,1.96,20.35,18.0,17.98,19.89,11.14,10.57,4.82,2.76,1.44,21005.37,,,,17.87,11.15,62.5,,,11.83,11.83,34.68,52.49,9.4,32.09,5.98,,,,128370.44,,,screener,2026-06-11T12:45:34.591728+05:30
MAHABANK,2026-06-11,64286.07,424493.0,9.2,18.48,1.95,2.2,22.65,5.81,1.76,8.13,8.09,8.87,10.92,22.75,20.14,11.61,4.0,1.45,29281.74,,,,22.58,19.8,66.38,,,39.16,39.16,65.15,73.6,5.55,13.93,6.93,,,,385771.82,,,screener,2026-06-11T12:45:34.591728+05:30
MANAPPURAM,2026-06-11,26799.24,78486.99,26.71,14.64,1.68,2.82,7.04,8.26,1.6,20.35,8.06,7.83,9.29,11.97,13.47,3.6,13.08,1.34,9509.39,,,,12.38,8.48,56.23,,,-12.46,-12.46,-10.26,31.77,23.23,12.96,32.03,,,,57836.61,,,screener,2026-06-11T12:45:34.591728+05:30
MANKIND,2026-06-11,99059.17,104887.94,49.29,26.3,6.08,6.94,13.12,13.5,7.3,31.66,50.44,50.23,50.23,15.62,17.11,0.39,1.07,4.85,14277.64,,,,17.73,18.1,25.34,,,17.03,17.03,10.52,72.66,10.24,14.46,2.63,,,,6311.54,,,screener,2026-06-11T12:45:34.591728+05:30
MARICO,2026-06-11,106317.45,106381.45,60.35,42.01,25.25,7.81,43.05,47.21,19.75,20.1,54.92,54.48,51.91,41.02,39.36,0.13,1.43,43.96,13611.0,,,,11.71,11.08,17.1,,,11.21,11.21,8.68,58.92,24.08,12.17,4.49,,,,557.0,,,screener,2026-06-11T12:45:34.591728+05:30
MARUTI,2026-06-11,409943.21,408465.71,27.96,15.65,3.81,2.24,14.43,19.02,10.45,28.15,28.02,32.92,35.35,16.0,13.78,0.0,1.07,81.09,183316.0,24000.0,13500.0,8.5,12.2,21.1,11.7,9.3,10.5,29.6,29.6,27.05,58.53,14.12,24.09,3.18,2025-01-25,Q3FY25,28000.0,102.5,35.0,14500.0,screener,2026-06-11T12:45:34.591728+05:30
MAXHEALTH,2026-06-11,98297.62,101075.38,66.24,42.02,9.17,11.74,14.75,14.72,9.16,45.75,78.82,72.51,78.04,13.67,13.59,0.32,0.89,8.33,8373.45,,,,22.43,27.27,26.79,,,10.41,10.41,60.02,23.71,45.39,26.32,4.58,,,,3478.36,,,screener,2026-06-11T12:45:34.591728+05:30
MAZDOCK,2026-06-11,95036.31,82387.21,36.82,24.2,9.7,7.31,29.2,35.98,9.17,36.97,37.52,31.09,26.32,32.33,29.5,0.05,1.4,46.23,13006.31,2800.0,2400.0,22.5,28.5,26.3,17.42,24.0,28.8,32.19,32.19,33.51,81.22,1.73,5.09,11.95,2025-02-03,Q3FY25,12000.0,447.39,70.0,2200.0,screener,2026-06-11T12:45:34.591728+05:30
MCX,2026-06-11,70667.15,68135.01,53.01,38.52,24.76,30.7,56.27,71.37,22.52,52.54,76.89,59.62,43.84,36.39,27.54,0.0,1.31,4696.36,2302.0,,,,64.89,42.59,71.32,,,107.53,107.53,48.69,0.0,26.07,54.35,19.38,,,,4.76,,,screener,2026-06-11T12:45:34.591728+05:30
MEDANTA,2026-06-11,32936.3,32996.12,59.12,32.42,8.32,7.47,15.17,17.14,10.4,45.75,62.37,62.11,62.11,16.37,15.96,0.3,2.67,10.05,4410.27,,,,17.63,24.97,20.84,,,19.5,19.5,80.71,33.01,10.15,14.76,42.01,,,,1190.05,,,screener,2026-06-11T12:45:34.591728+05:30
